Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4499900k free), swap 16212796k(12157380k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T01:18:16.405+0800: 0.623: [GC (Allocation Failure) 2020-10-27T01:18:16.405+0800: 0.623: [DefNew: 33856K->3445K(38080K), 0.0095999 secs] 33856K->3445K(122752K), 0.0097682 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2020-10-27T01:18:16.640+0800: 0.854: [GC (Allocation Failure) 2020-10-27T01:18:16.640+0800: 0.854: [DefNew: 37301K->1518K(38080K), 0.0081290 secs] 37301K->3760K(122752K), 0.0082048 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:16.812+0800: 1.026: [GC (Allocation Failure) 2020-10-27T01:18:16.812+0800: 1.026: [DefNew: 35374K->2390K(38080K), 0.0048992 secs] 37616K->4632K(122752K), 0.0049741 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:17.000+0800: 1.211: [GC (Allocation Failure) 2020-10-27T01:18:17.000+0800: 1.211: [DefNew: 36246K->2146K(38080K), 0.0069715 secs] 38488K->4922K(122752K), 0.0070542 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:17.162+0800: 1.373: [GC (Allocation Failure) 2020-10-27T01:18:17.162+0800: 1.373: [DefNew: 36002K->2335K(38080K), 0.0067391 secs] 38778K->5696K(122752K), 0.0068266 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:17.355+0800: 1.565: [GC (Allocation Failure) 2020-10-27T01:18:17.355+0800: 1.565: [DefNew: 36191K->2992K(38080K), 0.0079059 secs] 39552K->6950K(122752K), 0.0079963 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:17.559+0800: 1.770: [GC (Allocation Failure) 2020-10-27T01:18:17.559+0800: 1.770: [DefNew: 36848K->2628K(38080K), 0.0087632 secs] 40806K->7389K(122752K), 0.0089174 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:17.601+0800: 1.812: [Full GC (Metadata GC Threshold) 2020-10-27T01:18:17.601+0800: 1.812: [Tenured: 4761K->5574K(84672K), 0.0307203 secs] 23314K->5574K(122752K), [Metaspace: 20577K->20577K(1067008K)], 0.0308082 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2020-10-27T01:18:18.040+0800: 2.251: [GC (Allocation Failure) 2020-10-27T01:18:18.041+0800: 2.251: [DefNew: 33920K->2833K(38144K), 0.0083276 secs] 39494K->8407K(122816K), 0.0084234 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:18.399+0800: 2.609: [GC (Allocation Failure) 2020-10-27T01:18:18.399+0800: 2.609: [DefNew: 36753K->2254K(38144K), 0.0084963 secs] 42327K->9572K(122816K), 0.0085621 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:18.650+0800: 2.861: [GC (Allocation Failure) 2020-10-27T01:18:18.650+0800: 2.861: [DefNew: 36174K->1207K(38144K), 0.0081475 secs] 43492K->9506K(122816K), 0.0082407 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:18.929+0800: 3.140: [GC (Allocation Failure) 2020-10-27T01:18:18.929+0800: 3.140: [DefNew: 35127K->2386K(38144K), 0.0082653 secs] 43426K->10684K(122816K), 0.0083385 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:19.729+0800: 3.939: [GC (Allocation Failure) 2020-10-27T01:18:19.729+0800: 3.939: [DefNew: 36306K->4224K(38144K), 0.0167502 secs] 44604K->15157K(122816K), 0.0168479 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2020-10-27T01:18:20.133+0800: 4.344: [GC (Allocation Failure) 2020-10-27T01:18:20.133+0800: 4.344: [DefNew: 38144K->2210K(38144K), 0.0221861 secs] 49077K->17350K(122816K), 0.0222805 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2020-10-27T01:18:20.382+0800: 4.593: [GC (Allocation Failure) 2020-10-27T01:18:20.382+0800: 4.593: [DefNew: 36130K->972K(38144K), 0.0118642 secs] 51270K->17246K(122816K), 0.0119720 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
