Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4392684k free), swap 16212796k(12088928k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T01:32:26.134+0800: 0.747: [GC (Allocation Failure) 2020-10-27T01:32:26.134+0800: 0.747: [DefNew: 33856K->3446K(38080K), 0.0098295 secs] 33856K->3446K(122752K), 0.0100358 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:32:26.438+0800: 1.051: [GC (Allocation Failure) 2020-10-27T01:32:26.439+0800: 1.051: [DefNew: 37302K->1691K(38080K), 0.0092905 secs] 37302K->3926K(122752K), 0.0093642 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T01:32:26.680+0800: 1.293: [GC (Allocation Failure) 2020-10-27T01:32:26.681+0800: 1.293: [DefNew: 35547K->2441K(38080K), 0.0076333 secs] 37782K->4676K(122752K), 0.0077192 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:32:26.886+0800: 1.498: [GC (Allocation Failure) 2020-10-27T01:32:26.886+0800: 1.498: [DefNew: 36297K->2140K(38080K), 0.0095011 secs] 38532K->4956K(122752K), 0.0095742 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:32:27.131+0800: 1.744: [GC (Allocation Failure) 2020-10-27T01:32:27.131+0800: 1.744: [DefNew: 35996K->2287K(38080K), 0.0078846 secs] 38812K->5676K(122752K), 0.0079661 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T01:32:27.372+0800: 1.985: [GC (Allocation Failure) 2020-10-27T01:32:27.372+0800: 1.985: [DefNew: 36143K->3017K(38080K), 0.0091683 secs] 39532K->7068K(122752K), 0.0092519 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T01:32:27.746+0800: 2.359: [Full GC (Metadata GC Threshold) 2020-10-27T01:32:27.746+0800: 2.359: [Tenured: 4051K->7040K(84672K), 0.0453581 secs] 37907K->7040K(122752K), [Metaspace: 20500K->20500K(1067008K)], 0.0454732 secs] [Times: user=0.14 sys=0.00, real=0.04 secs] 
2020-10-27T01:32:28.327+0800: 2.940: [GC (Allocation Failure) 2020-10-27T01:32:28.327+0800: 2.940: [DefNew: 33920K->1533K(38144K), 0.0072923 secs] 40960K->8573K(122816K), 0.0074416 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T01:32:28.955+0800: 3.568: [GC (Allocation Failure) 2020-10-27T01:32:28.955+0800: 3.568: [DefNew: 35453K->3701K(38144K), 0.0105321 secs] 42493K->10741K(122816K), 0.0106097 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T01:32:29.409+0800: 4.022: [GC (Allocation Failure) 2020-10-27T01:32:29.409+0800: 4.022: [DefNew: 37621K->1721K(38144K), 0.0133191 secs] 44661K->11283K(122816K), 0.0134081 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T01:32:29.685+0800: 4.297: [GC (Allocation Failure) 2020-10-27T01:32:29.685+0800: 4.298: [DefNew: 35641K->2146K(38144K), 0.0064719 secs] 45203K->11708K(122816K), 0.0065489 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
